hfdst;icd_code;diagnose;nis_code;arrondissement_van_woonplaats_van_de_patiënt;klass_hosp;dag_hosp
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;12.0;Mechelen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;13.0;Turnhout;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;21.0;Brussel-Hoofdstad;5;0
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;25.0;Nijvel;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;32.0;Diksmuide;0;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;44.0;Gent;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;52.0;Charleroi;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;53.0;Bergen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;57.0;Doornik;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;71.0;Hasselt;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;0.0;Buitenlands verblijf;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;11.0;Antwerpen;20;7
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;12.0;Mechelen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;13.0;Turnhout;8;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;21.0;Brussel-Hoofdstad;7;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;23.0;Halle-Vilvoorde;12;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;24.0;Leuven;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;25.0;Nijvel;< 5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;31.0;Brugge;14;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;32.0;Diksmuide;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;33.0;Ieper;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;34.0;Kortrijk;6;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;35.0;Oostende;5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;36.0;Roeselare;5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;37.0;Tielt;11;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;38.0;Veurne;< 5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;41.0;Aalst;5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;42.0;Dendermonde;< 5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;43.0;Eeklo;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;44.0;Gent;9;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;45.0;Oudenaarde;< 5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;46.0;Sint-Niklaas;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;51.0;Aat;< 5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;52.0;Charleroi;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;53.0;Bergen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;54.0;Moeskroen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;55.0;Zinnik;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;56.0;Thuin;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;57.0;Doornik;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;61.0;Hoei;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;62.0;Luik;7;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;63.0;Verviers;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;71.0;Hasselt;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;72.0;Maaseik;< 5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;73.0;Tongeren;5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;82.0;Bastenaken;0;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;92.0;Namen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;93.0;Philippeville;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;0.0;Buitenlands verblijf;130;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;11.0;Antwerpen;1037;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;12.0;Mechelen;349;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;13.0;Turnhout;551;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;21.0;Brussel-Hoofdstad;539;5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;23.0;Halle-Vilvoorde;409;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;24.0;Leuven;394;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;25.0;Nijvel;193;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;31.0;Brugge;397;7
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;32.0;Diksmuide;74;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;33.0;Ieper;128;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;34.0;Kortrijk;345;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;35.0;Oostende;196;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;36.0;Roeselare;265;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;37.0;Tielt;157;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;38.0;Veurne;68;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;41.0;Aalst;332;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;42.0;Dendermonde;189;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;43.0;Eeklo;140;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;44.0;Gent;468;8
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;45.0;Oudenaarde;112;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;46.0;Sint-Niklaas;194;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;51.0;Aat;37;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;52.0;Charleroi;244;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;53.0;Bergen;110;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;54.0;Moeskroen;89;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;55.0;Zinnik;90;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;56.0;Thuin;90;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;57.0;Doornik;134;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;61.0;Hoei;113;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;62.0;Luik;463;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;63.0;Verviers;386;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;64.0;Borgworm;49;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;71.0;Hasselt;402;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;72.0;Maaseik;198;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;73.0;Tongeren;179;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;81.0;Aarlen;31;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;82.0;Bastenaken;35;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;83.0;Marche-en-Famenne;69;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;84.0;Neufchâteau;52;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;85.0;Virton;24;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;91.0;Dinant;80;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;92.0;Namen;224;0
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;93.0;Philippeville;52;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;0.0;Buitenlands verblijf;70;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;11.0;Antwerpen;486;62
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;12.0;Mechelen;69;8
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;13.0;Turnhout;138;29
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;21.0;Brussel-Hoofdstad;392;17
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;23.0;Halle-Vilvoorde;182;19
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;24.0;Leuven;124;11
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;25.0;Nijvel;108;7
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;31.0;Brugge;88;20
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;32.0;Diksmuide;26;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;33.0;Ieper;36;7
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;34.0;Kortrijk;131;14
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;35.0;Oostende;90;16
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;36.0;Roeselare;39;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;37.0;Tielt;29;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;38.0;Veurne;58;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;41.0;Aalst;87;20
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;42.0;Dendermonde;47;11
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;43.0;Eeklo;40;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;44.0;Gent;197;26
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;45.0;Oudenaarde;18;6
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;46.0;Sint-Niklaas;58;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;51.0;Aat;23;0
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;52.0;Charleroi;117;7
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;53.0;Bergen;72;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;54.0;Moeskroen;52;0
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;55.0;Zinnik;66;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;56.0;Thuin;44;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;57.0;Doornik;28;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;61.0;Hoei;49;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;62.0;Luik;423;19
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;63.0;Verviers;132;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;64.0;Borgworm;49;0
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;71.0;Hasselt;180;7
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;72.0;Maaseik;91;10
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;73.0;Tongeren;144;6
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;81.0;Aarlen;9;0
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;82.0;Bastenaken;10;0
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;83.0;Marche-en-Famenne;30;0
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;84.0;Neufchâteau;12;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;85.0;Virton;8;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;91.0;Dinant;29;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;92.0;Namen;75;< 5
