chap;code_icd;diagnostic;code_ins;arrondissement_du_domicile_du_patient;hosp_class;hosp_de_jour
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;55.0;Soignies;15;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;56.0;Thuin;12;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;57.0;Tournai;8;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;61.0;Huy;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;62.0;Liège;30;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;63.0;Verviers;17;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;64.0;Waremme;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;71.0;Hasselt;9;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;72.0;Maaseik;8;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;73.0;Tongres;8;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;83.0;Marche-en-Famenne;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;84.0;Neufchâteau;5;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;85.0;Virton;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;91.0;Dinant;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;92.0;Namur;15;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;93.0;Philippeville;6;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;0.0;Domicile étranger;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;11.0;Anvers;17;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;12.0;Malines;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;13.0;Turnhout;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;21.0;Bruxelles-Capitale;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;23.0;Hal-Vilvorde;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;24.0;Louvain;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;31.0;Bruges;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;34.0;Courtrai;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;35.0;Ostende;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;36.0;Roulers;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;42.0;Termonde;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;44.0;Gand;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;45.0;Audenarde;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;46.0;Saint-Nicolas;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;57.0;Tournai;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;61.0;Huy;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;62.0;Liège;8;< 5
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;64.0;Waremme;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;72.0;Maaseik;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);0.0;Domicile étranger;8;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);11.0;Anvers;15;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);12.0;Malines;8;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);13.0;Turnhout;20;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);21.0;Bruxelles-Capitale;23;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);23.0;Hal-Vilvorde;6;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);24.0;Louvain;17;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);25.0;Nivelles;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);31.0;Bruges;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);32.0;Dixmude;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);33.0;Ypres;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);34.0;Courtrai;9;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);35.0;Ostende;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);36.0;Roulers;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);41.0;Alost;16;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);42.0;Termonde;6;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);43.0;Eeklo;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);44.0;Gand;7;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);45.0;Audenarde;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);46.0;Saint-Nicolas;9;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);51.0;Ath;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);52.0;Charleroi;9;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);53.0;Mons;6;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);54.0;Mouscron;7;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);55.0;Soignies;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);56.0;Thuin;7;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);57.0;Tournai;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);61.0;Huy;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);62.0;Liège;19;< 5
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);63.0;Verviers;6;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);71.0;Hasselt;10;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);72.0;Maaseik;< 5;< 5
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);73.0;Tongres;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);81.0;Arlon;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);82.0;Bastogne;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);84.0;Neufchâteau;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);91.0;Dinant;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);92.0;Namur;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);93.0;Philippeville;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;0.0;Domicile étranger;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;11.0;Anvers;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;12.0;Malines;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;13.0;Turnhout;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;21.0;Bruxelles-Capitale;5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;25.0;Nivelles;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;32.0;Dixmude;0;< 5
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;44.0;Gand;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;52.0;Charleroi;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;53.0;Mons;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;57.0;Tournai;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;71.0;Hasselt;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;0.0;Domicile étranger;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;11.0;Anvers;20;7
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;12.0;Malines;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;13.0;Turnhout;8;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;21.0;Bruxelles-Capitale;7;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;23.0;Hal-Vilvorde;12;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;24.0;Louvain;6;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;25.0;Nivelles;< 5;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;31.0;Bruges;14;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;32.0;Dixmude;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;33.0;Ypres;6;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;34.0;Courtrai;6;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;35.0;Ostende;5;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;36.0;Roulers;5;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;37.0;Tielt;11;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;38.0;Furnes;< 5;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;41.0;Alost;5;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;42.0;Termonde;< 5;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;43.0;Eeklo;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;44.0;Gand;9;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;45.0;Audenarde;< 5;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;46.0;Saint-Nicolas;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;51.0;Ath;< 5;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;52.0;Charleroi;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;53.0;Mons;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;54.0;Mouscron;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;55.0;Soignies;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;56.0;Thuin;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;57.0;Tournai;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;61.0;Huy;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;62.0;Liège;7;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;63.0;Verviers;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;71.0;Hasselt;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;72.0;Maaseik;< 5;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;73.0;Tongres;5;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;82.0;Bastogne;0;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;92.0;Namur;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;93.0;Philippeville;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;0.0;Domicile étranger;130;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;11.0;Anvers;1037;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;12.0;Malines;349;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;13.0;Turnhout;551;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;21.0;Bruxelles-Capitale;539;5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;23.0;Hal-Vilvorde;409;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;24.0;Louvain;394;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;25.0;Nivelles;193;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;31.0;Bruges;397;7
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;32.0;Dixmude;74;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;33.0;Ypres;128;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;34.0;Courtrai;345;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;35.0;Ostende;196;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;36.0;Roulers;265;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;37.0;Tielt;157;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;38.0;Furnes;68;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;41.0;Alost;332;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;42.0;Termonde;189;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;43.0;Eeklo;140;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;44.0;Gand;468;8
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;45.0;Audenarde;112;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;46.0;Saint-Nicolas;194;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;51.0;Ath;37;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;52.0;Charleroi;244;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;53.0;Mons;110;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;54.0;Mouscron;89;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;55.0;Soignies;90;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;56.0;Thuin;90;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;57.0;Tournai;134;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;61.0;Huy;113;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;62.0;Liège;463;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;63.0;Verviers;386;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;64.0;Waremme;49;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;71.0;Hasselt;402;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;72.0;Maaseik;198;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;73.0;Tongres;179;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;81.0;Arlon;31;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;82.0;Bastogne;35;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;83.0;Marche-en-Famenne;69;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;84.0;Neufchâteau;52;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;85.0;Virton;24;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;91.0;Dinant;80;< 5
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;92.0;Namur;224;0
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;93.0;Philippeville;52;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;0.0;Domicile étranger;70;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;11.0;Anvers;486;62
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;12.0;Malines;69;8
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;13.0;Turnhout;138;29
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;21.0;Bruxelles-Capitale;392;17
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;23.0;Hal-Vilvorde;182;19
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;24.0;Louvain;124;11
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;25.0;Nivelles;108;7
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;31.0;Bruges;88;20
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;32.0;Dixmude;26;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;33.0;Ypres;36;7
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;34.0;Courtrai;131;14
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;35.0;Ostende;90;16
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;36.0;Roulers;39;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;37.0;Tielt;29;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;38.0;Furnes;58;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;41.0;Alost;87;20
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;42.0;Termonde;47;11
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;43.0;Eeklo;40;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;44.0;Gand;197;26
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;45.0;Audenarde;18;6
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;46.0;Saint-Nicolas;58;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;51.0;Ath;23;0
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;52.0;Charleroi;117;7
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;53.0;Mons;72;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;54.0;Mouscron;52;0
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;55.0;Soignies;66;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;56.0;Thuin;44;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;57.0;Tournai;28;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;61.0;Huy;49;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;62.0;Liège;423;19
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;63.0;Verviers;132;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;64.0;Waremme;49;0
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;71.0;Hasselt;180;7
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;72.0;Maaseik;91;10
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;73.0;Tongres;144;6
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;81.0;Arlon;9;0
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;82.0;Bastogne;10;0
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;83.0;Marche-en-Famenne;30;0
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;84.0;Neufchâteau;12;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;85.0;Virton;8;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;91.0;Dinant;29;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;92.0;Namur;75;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;93.0;Philippeville;18;< 5
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;99.0;Sans domicile fixe;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);10;Primo-infection tuberculeuse;11.0;Anvers;6;0
1 - Maladies infectieuses et parasitaires (001-139);10;Primo-infection tuberculeuse;12.0;Malines;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);10;Primo-infection tuberculeuse;13.0;Turnhout;0;< 5
1 - Maladies infectieuses et parasitaires (001-139);10;Primo-infection tuberculeuse;21.0;Bruxelles-Capitale;7;0
1 - Maladies infectieuses et parasitaires (001-139);10;Primo-infection tuberculeuse;23.0;Hal-Vilvorde;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);10;Primo-infection tuberculeuse;24.0;Louvain;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);10;Primo-infection tuberculeuse;34.0;Courtrai;< 5;0
