hfdst;icd_code;diagnose;klass_hosp;dag_hosp
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B50;malaria door Plasmodium falciparum;285;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B51;malaria door Plasmodium vivax;42;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B52;malaria door Plasmodium malariae;23;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B53;andere gespecificeerde malaria;24;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B54;niet gespecificeerde malaria;49;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B55;leishmaniasis;7;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B56;Afrikaanse trypanosomiasis;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B57;ziekte van Chagas;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B58;toxoplasmose;38;11
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B59;pneumocystose;193;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B60;andere ziekten door protozoën, niet elders geclassificeerd;22;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B64;niet gespecificeerde ziekte door protozoën;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B65;schistosomiasis [bilharziasis];9;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B66;andere trematodeninfectie;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B67;echinococcose;65;5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B68;taeniasis;0;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B69;cysticercose;5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B70;diphyllobothriasis en sparganose;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B71;andere cestodeninfecties;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B72;dracunculiasis;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B73;onchocerciasis;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B74;filariasis;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B75;trichinose;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B76;haakwormziekten;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B77;ascariasis;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B78;strongyloidiasis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B79;trichuriasis;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B80;enterobiasis;17;61
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B81;andere intestinale wormziekten, niet elders geclassificeerd;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B82;niet gespecificeerd intestinaal parasitisme;18;9
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B83;andere wormziekten;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B85;pediculose en phthiriasis;8;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B86;scabiës;61;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B87;myiasis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B88;andere infestaties;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B89;niet gespecificeerde parasitaire ziekten;7;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B90;sekwellen van tuberculose;15;9
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B91;sekwellen van poliomyelitis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B92;sekwellen van lepra;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B94;sekwellen van andere en niet gespecificeerde infectieziekten en parasitaire ziekten;9;6
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B95;streptokokken, stafylokokken en enterokokken als oorzaak van ziekten elders geclassificeerd;79;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B96;andere bacteriële agentia als oorzaak van ziekten elders geclassificeerd;234;52
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B97;virale agentia als oorzaak van ziekten elders geclassificeerd;484;9
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B99;andere en niet gespecificeerde infectieziekten;833;9
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);;;56583;5840
II - Nieuwvormingen (C00-D49);C00;maligne neoplasma van lip;62;42
II - Nieuwvormingen (C00-D49);C01;maligne neoplasma van tongbasis;219;146
II - Nieuwvormingen (C00-D49);C02;maligne neoplasma van andere en niet gespecificeerde delen van tong;373;112
II - Nieuwvormingen (C00-D49);C03;maligne neoplasma van tandvlees;56;18
II - Nieuwvormingen (C00-D49);C04;maligne neoplasma van mondbodem;296;81
II - Nieuwvormingen (C00-D49);C05;maligne neoplasma van gehemelte;110;48
II - Nieuwvormingen (C00-D49);C06;maligne neoplasma van andere en niet gespecificeerde delen van mond;156;66
II - Nieuwvormingen (C00-D49);C07;maligne neoplasma van glandula parotidea;194;25
II - Nieuwvormingen (C00-D49);C08;maligne neoplasma van grote speekselklier, andere en niet gespecificeerd;47;18
II - Nieuwvormingen (C00-D49);C09;maligne neoplasma van tonsil;227;159
II - Nieuwvormingen (C00-D49);C10;maligne neoplasma van orofarynx;283;162
II - Nieuwvormingen (C00-D49);C11;maligne neoplasma van nasofarynx;88;51
II - Nieuwvormingen (C00-D49);C12;maligne neoplasma van sinus pyriformis;229;147
II - Nieuwvormingen (C00-D49);C13;maligne neoplasma van hypofarynx;162;100
II - Nieuwvormingen (C00-D49);C14;maligne neoplasma van andere en slecht omschreven lokalisaties in lip, mond- en keelholte;77;63
II - Nieuwvormingen (C00-D49);C15;maligne neoplasma van oesofagus;1631;879
II - Nieuwvormingen (C00-D49);C16;maligne neoplasma van maag;1814;793
II - Nieuwvormingen (C00-D49);C17;maligne neoplasma van dunne darm;228;76
II - Nieuwvormingen (C00-D49);C18;maligne neoplasma van colon;6921;3726
II - Nieuwvormingen (C00-D49);C19;maligne neoplasma van rectosigmoïdale overgang;829;554
II - Nieuwvormingen (C00-D49);C20;maligne neoplasma van rectum;2768;2018
II - Nieuwvormingen (C00-D49);C21;maligne neoplasma van anus en anaal kanaal;279;236
II - Nieuwvormingen (C00-D49);C22;maligne neoplasma van lever en intrahepatische galwegen;2128;441
II - Nieuwvormingen (C00-D49);C23;maligne neoplasma van galblaas;114;27
II - Nieuwvormingen (C00-D49);C24;maligne neoplasma van andere en niet gespecificeerde delen van galwegen;536;108
II - Nieuwvormingen (C00-D49);C25;maligne neoplasma van pancreas;2838;1149
II - Nieuwvormingen (C00-D49);C26;maligne neoplasma van andere en slecht omschreven delen van spijsverteringsstelsel ;50;12
II - Nieuwvormingen (C00-D49);C30;maligne neoplasma van neusholte en middenoor;70;21
II - Nieuwvormingen (C00-D49);C31;maligne neoplasma van neusbijholten;146;34
II - Nieuwvormingen (C00-D49);C32;maligne neoplasma van larynx;676;513
II - Nieuwvormingen (C00-D49);C33;maligne neoplasma van trachea;25;11
II - Nieuwvormingen (C00-D49);C34;maligne neoplasma van bronchus en long;9904;4273
II - Nieuwvormingen (C00-D49);C37;maligne neoplasma van thymus;60;14
II - Nieuwvormingen (C00-D49);C38;maligne neoplasma van hart, mediastinum en pleura;120;37
II - Nieuwvormingen (C00-D49);C39;maligne neoplasma van andere en slecht omschreven lokalisaties van ademhalingsstelsel en intrathoracale organen;< 5;< 5
II - Nieuwvormingen (C00-D49);C40;maligne neoplasma van botten en gewrichtskraakbeen ledematen;163;57
II - Nieuwvormingen (C00-D49);C41;maligne neoplasma van botten en gewrichtskraakbeen van andere en niet gespecificeerde lokalisaties;211;135
II - Nieuwvormingen (C00-D49);C43;maligne melanoom van huid;1194;816
II - Nieuwvormingen (C00-D49);C44;andere en niet gespecificeerde maligne neoplasmata van huid;1766;4497
II - Nieuwvormingen (C00-D49);C45;mesothelioom;538;94
II - Nieuwvormingen (C00-D49);C46;Kaposi-sarcoom;8;13
II - Nieuwvormingen (C00-D49);C47;maligne neoplasma van perifere zenuwen en autonoom zenuwstelsel;45;20
II - Nieuwvormingen (C00-D49);C48;maligne neoplasma van retroperitoneale ruimte en peritoneum;211;93
II - Nieuwvormingen (C00-D49);C49;maligne neoplasma van ander bindweefsel en weke delen;632;282
II - Nieuwvormingen (C00-D49);C4A;merkelcelcarcinoom;55;38
II - Nieuwvormingen (C00-D49);C50;maligne neoplasma van mamma;12309;4894
II - Nieuwvormingen (C00-D49);C51;maligne neoplasma van vulva;314;81
II - Nieuwvormingen (C00-D49);C52;maligne neoplasma van vagina;63;29
II - Nieuwvormingen (C00-D49);C53;maligne neoplasma van cervix uteri;903;390
II - Nieuwvormingen (C00-D49);C54;maligne neoplasma van corpus uteri;1615;651
II - Nieuwvormingen (C00-D49);C55;maligne neoplasma van uterus, deel niet gespecificeerd;109;29
II - Nieuwvormingen (C00-D49);C56;maligne neoplasma van ovarium;1501;519
II - Nieuwvormingen (C00-D49);C57;maligne neoplasma van andere en niet gespecificeerde vrouwelijke geslachtsorganen;144;37
II - Nieuwvormingen (C00-D49);C58;maligne neoplasma van placenta;< 5;0
II - Nieuwvormingen (C00-D49);C60;maligne neoplasma van penis;103;47
II - Nieuwvormingen (C00-D49);C61;maligne neoplasma van prostaat;6275;3059
II - Nieuwvormingen (C00-D49);C62;maligne neoplasma van testis;402;179
II - Nieuwvormingen (C00-D49);C63;maligne neoplasma van andere en niet gespecificeerde mannelijke geslachtsorganen;55;17
II - Nieuwvormingen (C00-D49);C64;maligne neoplasma van nier, behalve nierbekken;2098;242
II - Nieuwvormingen (C00-D49);C65;maligne neoplasma van nierbekken;338;62
II - Nieuwvormingen (C00-D49);C66;maligne neoplasma van ureter;337;101
II - Nieuwvormingen (C00-D49);C67;maligne neoplasma van blaas;6364;3804
II - Nieuwvormingen (C00-D49);C68;maligne neoplasma van andere en niet gespecificeerde delen van nier en urinewegen;68;21
II - Nieuwvormingen (C00-D49);C69;maligne neoplasma van oog en adnexen;189;117
II - Nieuwvormingen (C00-D49);C70;maligne neoplasma van hersenvliezen;91;9
II - Nieuwvormingen (C00-D49);C71;maligne neoplasma van hersenen;2259;182
II - Nieuwvormingen (C00-D49);C72;maligne neoplasma van ruggenmerg, hersenzenuwen en andere delen van centraal zenuwstelsel;52;41
II - Nieuwvormingen (C00-D49);C73;maligne neoplasma van schildklier;1542;30
II - Nieuwvormingen (C00-D49);C74;maligne neoplasma van bijnier;117;46
II - Nieuwvormingen (C00-D49);C75;maligne neoplasma van andere endocriene klieren en verwante structuren;27;7
II - Nieuwvormingen (C00-D49);C76;maligne neoplasma van andere en slecht omschreven lokalisaties;136;56
II - Nieuwvormingen (C00-D49);C77;secundaire en niet gespecificeerde maligne neoplasmata van lymfeklieren;1928;894
II - Nieuwvormingen (C00-D49);C78;secundair maligne neoplasma van ademhalingsorganen en spijsverteringsorganen;6028;2820
II - Nieuwvormingen (C00-D49);C79;secundair maligne neoplasma van andere en niet gespecificeerde lokalisaties;5366;1412
II - Nieuwvormingen (C00-D49);C7A;maligne neuro-endocriene tumoren;1012;315
II - Nieuwvormingen (C00-D49);C7B;secundaire neuro-endocriene tumoren;281;71
II - Nieuwvormingen (C00-D49);C80;maligne neoplasma zonder gespecificeerde lokalisatie;349;205
II - Nieuwvormingen (C00-D49);C81;Hodgkin-lymfoom;380;618
II - Nieuwvormingen (C00-D49);C82;folliculair lymfoom;286;638
II - Nieuwvormingen (C00-D49);C83;non-folliculair lymfoom;1608;1931
II - Nieuwvormingen (C00-D49);C84;lymfomen met rijpe T/NK-cellen;154;143
II - Nieuwvormingen (C00-D49);C85;andere en niet gespecificeerde typen van non-Hodgkin-lymfoom;452;347
II - Nieuwvormingen (C00-D49);C86;andere gespecificeerde typen van T/NK-cel lymfoom;67;95
II - Nieuwvormingen (C00-D49);C88;maligne immunoproliferatieve ziekten en andere B-cel lymfomen;140;370
II - Nieuwvormingen (C00-D49);C90;multipel myeloom en maligne plasmacel neoplasma;1306;2909
II - Nieuwvormingen (C00-D49);C91;lymfatische leukemie;828;2139
II - Nieuwvormingen (C00-D49);C92;myeloïde leukemie;1204;3524
II - Nieuwvormingen (C00-D49);C93;monocytaire leukemie;119;520
II - Nieuwvormingen (C00-D49);C94;andere vormen van leukemie van gespecificeerd celtype;70;277
II - Nieuwvormingen (C00-D49);C95;leukemie van niet gespecificeerd celtype;58;80
II - Nieuwvormingen (C00-D49);C96;andere en niet gespecificeerde maligne neoplasmata van lymfoïd, hematopoëtisch en verwant weefsel;64;49
II - Nieuwvormingen (C00-D49);D00;carcinoma in situ van mondholte, oesofagus en maag;111;85
II - Nieuwvormingen (C00-D49);D01;carcinoma in situ van andere en niet gespecificeerde organen van tractus digestivus;350;486
II - Nieuwvormingen (C00-D49);D02;carcinoma in situ van middenoor en tractus respiratorius;62;128
II - Nieuwvormingen (C00-D49);D03;melanoma in situ;72;140
II - Nieuwvormingen (C00-D49);D04;carcinoma in situ van huid;65;189
II - Nieuwvormingen (C00-D49);D05;carcinoma in situ van mamma;988;280
II - Nieuwvormingen (C00-D49);D06;carcinoma in situ van cervix uteri;530;3404
II - Nieuwvormingen (C00-D49);D07;carcinoma in situ van andere en niet gespecificeerde geslachtsorganen;179;205
II - Nieuwvormingen (C00-D49);D09;carcinoma in situ van andere en niet gespecificeerde lokalisaties;2021;1533
II - Nieuwvormingen (C00-D49);D10;benigne neoplasma van mond en farynx;56;620
II - Nieuwvormingen (C00-D49);D11;benigne neoplasma van grote speekselklieren;797;48
II - Nieuwvormingen (C00-D49);D12;benigne neoplasma van colon, rectum, anus en anaal kanaal;4138;43616
II - Nieuwvormingen (C00-D49);D13;benigne neoplasma van andere en slecht omschreven delen van tractus digestivus;555;734
II - Nieuwvormingen (C00-D49);D14;benigne neoplasma van middenoor en tractus respiratorius;164;337
