chap;code_icd;diagnostic;hosp_class;hosp_de_jour
I - Certaines maladies infectieuses et parasitaires (A00-B99);A32;listériose;68;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A33;tétanos néonatal;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A34;tétanos obstétrical;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A35;autres formes de tétanos;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A36;diphtérie;116;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A37;coqueluche;209;6
I - Certaines maladies infectieuses et parasitaires (A00-B99);A38;scarlatine;185;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A39;infection à méningocoques;122;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A40;sepsis à streptocoques;1400;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A41;autres sepsis;11570;18
I - Certaines maladies infectieuses et parasitaires (A00-B99);A42;actinomycose;22;11
I - Certaines maladies infectieuses et parasitaires (A00-B99);A43;nocardiose;15;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A44;bartonellose;22;5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A46;érysipèle;6744;10
I - Certaines maladies infectieuses et parasitaires (A00-B99);A48;autres maladies bactériennes, non classées ailleurs;180;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A49;infection bactérienne de site non spécifié;271;8
I - Certaines maladies infectieuses et parasitaires (A00-B99);A50;syphilis congénitale;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A51;syphilis précoce;19;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A52;syphilis tardive;57;14
I - Certaines maladies infectieuses et parasitaires (A00-B99);A53;autres syphilis non spécifiée;17;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A54;infection gonococcique;33;7
I - Certaines maladies infectieuses et parasitaires (A00-B99);A55;lymphogranulomatose vénérienne à Chlamydia;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A56;autres maladies à Chlamydia sexuellement transmissibles;74;15
I - Certaines maladies infectieuses et parasitaires (A00-B99);A57;chancre mou;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A58;granulome inguinal;< 5;13
I - Certaines maladies infectieuses et parasitaires (A00-B99);A59;trichomonose;0;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A60;infection anogénitale par le virus de l'herpès [herpes simplex];109;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A63;autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs;174;2647
I - Certaines maladies infectieuses et parasitaires (A00-B99);A64;maladie sexuellement transmissible, non spécifiée;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A65;syphilis non vénérienne;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A66;pian;0;7
I - Certaines maladies infectieuses et parasitaires (A00-B99);A67;pinta [caraté];0;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A68;fièvres récurrentes;11;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A69;autres infections à spirochètes;337;42
I - Certaines maladies infectieuses et parasitaires (A00-B99);A70;infection à Chlamydia psittaci;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A71;trachome;0;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A74;autres maladies à Chlamydia;34;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A75;typhus;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A77;fièvre pourprée [rickettsioses transmises par les tiques];< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A78;fièvre Q;6;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A79;autres rickettsioses;16;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A80;poliomyélite aiguë;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A81;infection virale atypique du système nerveux central;56;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A82;rage;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A83;encéphalite virale transmise par des moustiques;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A84;encéphalite virale transmise par des tiques;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A85;autres encéphalites virales, non classées ailleurs;28;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A86;encéphalite virale, non spécifiée;88;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A87;méningite virale;1615;5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A88;autres infections virales du système nerveux central, non classées ailleurs;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A89;infection virale du système nerveux central, non spécifiée;5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A90;dengue [dengue classique];26;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A91;fièvre hémorragique due au virus de la dengue;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A92;autres fièvres transmises par des moustiques;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A93;autres fièvres virales transmises par des arthropodes, non classées ailleurs;8;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A94;fièvre virale transmise par des arthropodes, non spécifiée;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A95;fièvre jaune;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A96;fièvre hémorragique à arénavirus;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A98;autres fièvres hémorragiques virales, non classées ailleurs;22;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A99;fièvre hémorragique virale, non spécifiée;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);AAA;spécialité psychiatrique;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B00;infections par le virus de l'herpès [herpes simplex];573;11
I - Certaines maladies infectieuses et parasitaires (A00-B99);B01;varicelle [chickenpox];854;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B02;zona [herpes zoster];1118;31
I - Certaines maladies infectieuses et parasitaires (A00-B99);B03;variole;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B04;orthopoxvirus simien;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B05;rougeole;28;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B06;rubéole;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B07;verrues d'origine virale;13;771
I - Certaines maladies infectieuses et parasitaires (A00-B99);B08;autres infections virales caractérisées par des lésions cutanéomuqueuses, non classées ailleurs;506;307
I - Certaines maladies infectieuses et parasitaires (A00-B99);B09;infection virale caractérisée par des lésions cutanéomuqueuses, non spécifiée;33;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B10;autres virus de l'herpès humain;15;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B15;hépatite aiguë A;84;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B16;hépatite aiguë B;54;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B17;autres hépatites virales aiguës;149;5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B18;hépatite virale chronique;138;152
I - Certaines maladies infectieuses et parasitaires (A00-B99);B19;hépatite virale, non spécifiée;87;21
I - Certaines maladies infectieuses et parasitaires (A00-B99);B20;immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires;483;149
I - Certaines maladies infectieuses et parasitaires (A00-B99);B25;maladie à cytomégalovirus;375;13
I - Certaines maladies infectieuses et parasitaires (A00-B99);B26;oreillons;34;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B27;mononucléose infectieuse;746;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B30;conjonctivite virale;24;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B33;autres maladies virales, non classées ailleurs;111;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B34;infection virale de site non spécifié;6026;8
I - Certaines maladies infectieuses et parasitaires (A00-B99);B35;dermatophytose;18;53
I - Certaines maladies infectieuses et parasitaires (A00-B99);B36;autres mycoses superficielles;14;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B37;candidose;537;279
I - Certaines maladies infectieuses et parasitaires (A00-B99);B38;coccidioïdomycose;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B39;histoplasmose;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B40;blastomycose;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B41;paracoccidioïdomycose;0;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B42;sporotrichose;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B43;chromomycose et abcès phaeohyphomycosique;< 5;16
I - Certaines maladies infectieuses et parasitaires (A00-B99);B44;aspergillose;348;121
I - Certaines maladies infectieuses et parasitaires (A00-B99);B45;cryptococcose;10;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B46;zygomycose;7;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B47;mycétome;5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B48;autres mycoses, non classées ailleurs;9;15
I - Certaines maladies infectieuses et parasitaires (A00-B99);B49;mycose, non spécifiée;10;7
I - Certaines maladies infectieuses et parasitaires (A00-B99);B50;paludisme à Plasmodium falciparum;285;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B51;paludisme à Plasmodium vivax;42;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B52;paludisme à Plasmodium malariae;23;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B53;autres paludismes spécifiés;24;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B54;paludisme, non spécifié;49;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B55;leishmaniose;7;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B56;trypanosomiase africaine;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B57;maladie de Chagas;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B58;toxoplasmose;38;11
I - Certaines maladies infectieuses et parasitaires (A00-B99);B59;pneumocystose;193;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B60;autres maladies dues à des protozoaires, non classées ailleurs;22;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B64;maladie due à des protozoaires, non spécifiée;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B65;schistosomiase [bilharziose];9;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B66;autres infections par douves;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B67;échinococcose;65;5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B68;infection à tænia;0;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B69;cysticercose;5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B70;diphyllobothriase et sparganose;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B71;autres infections à cestodes;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B72;dracunculose;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B73;onchocercose;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B74;filariose;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B75;trichinose;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B76;ankylostomiases;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B77;ascaridiase;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B78;anguillulose;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B79;infection à Trichuris trichiuria;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B80;oxyurose;17;61
I - Certaines maladies infectieuses et parasitaires (A00-B99);B81;autres helminthiases intestinales, non classées ailleurs;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B82;parasitose intestinale, non spécifiée;18;9
I - Certaines maladies infectieuses et parasitaires (A00-B99);B83;autres helminthiases;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B85;pédiculose et phtiriase;8;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B86;gale;61;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B87;myiase;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B88;autres infestations;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B89;parasitose, non spécifiée;7;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B90;séquelles de tuberculose;15;9
I - Certaines maladies infectieuses et parasitaires (A00-B99);B91;séquelles de poliomyélite;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B92;séquelles de lèpre;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);B94;séquelles de maladies infectieuses et parasitaires, autres et non spécifiées;9;6
I - Certaines maladies infectieuses et parasitaires (A00-B99);B95;streptocoques, staphylocoques et entérocoques, cause de maladies classées ailleurs;79;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);B96;autres agents bactériens, cause de maladies classées ailleurs;234;52
I - Certaines maladies infectieuses et parasitaires (A00-B99);B97;agents viraux spécifiés, cause de maladies classées ailleurs;484;9
I - Certaines maladies infectieuses et parasitaires (A00-B99);B99;maladies infectieuses, autres et non spécifiées;833;9
I - Certaines maladies infectieuses et parasitaires (A00-B99);;;56583;5840
II - Tumeurs (C00-D49);C00;néoplasme malin de la lèvre;62;42
II - Tumeurs (C00-D49);C01;néoplasme malin de la base de la langue;219;146
II - Tumeurs (C00-D49);C02;néoplasme malin de la langue, parties autres et non spécifiées;373;112
II - Tumeurs (C00-D49);C03;néoplasme malin de la gencive;56;18
II - Tumeurs (C00-D49);C04;néoplasme malin du plancher buccal;296;81
II - Tumeurs (C00-D49);C05;néoplasme malin du palais;110;48
II - Tumeurs (C00-D49);C06;néoplasme malin de la bouche, parties autres et non spécifiées;156;66
II - Tumeurs (C00-D49);C07;néoplasme malin de la glande parotide;194;25
II - Tumeurs (C00-D49);C08;néoplasme malin des glandes salivaires principales, autres et non spécifiées;47;18
II - Tumeurs (C00-D49);C09;néoplasme malin de l'amygdale;227;159
II - Tumeurs (C00-D49);C10;néoplasme malin de l'oropharynx;283;162
II - Tumeurs (C00-D49);C11;néoplasme malin du rhinopharynx;88;51
II - Tumeurs (C00-D49);C12;néoplasme malin du sinus piriforme;229;147
II - Tumeurs (C00-D49);C13;néoplasme malin de l'hypopharynx;162;100
II - Tumeurs (C00-D49);C14;néoplasme malin de la lèvre, de la cavité buccale et du pharynx, de sites autres et mal définis;77;63
II - Tumeurs (C00-D49);C15;néoplasme malin de l'œsophage;1631;879
II - Tumeurs (C00-D49);C16;néoplasme malin de l'estomac;1814;793
II - Tumeurs (C00-D49);C17;néoplasme malin de l'intestin grêle;228;76
II - Tumeurs (C00-D49);C18;néoplasme malin du côlon;6921;3726
II - Tumeurs (C00-D49);C19;néoplasme malin de la jonction recto-sigmoïdienne;829;554
II - Tumeurs (C00-D49);C20;néoplasme malin du rectum;2768;2018
II - Tumeurs (C00-D49);C21;néoplasme malin de l'anus et du canal anal;279;236
II - Tumeurs (C00-D49);C22;néoplasme malin du foie et des voies biliaires intrahépatiques;2128;441
II - Tumeurs (C00-D49);C23;néoplasme malin de la vésicule biliaire;114;27
II - Tumeurs (C00-D49);C24;néoplasme malin des voies biliaires, autres et non spécifiées;536;108
II - Tumeurs (C00-D49);C25;néoplasme malin du pancreas;2838;1149
II - Tumeurs (C00-D49);C26;néoplasme malin des organes digestifs, de sites autres et mal définis;50;12
II - Tumeurs (C00-D49);C30;néoplasme malin des fosses nasales et de l'oreille moyenne;70;21
II - Tumeurs (C00-D49);C31;néoplasme malin des sinus de la face;146;34
II - Tumeurs (C00-D49);C32;néoplasme malin du larynx;676;513
II - Tumeurs (C00-D49);C33;néoplasme malin de la trachée;25;11
II - Tumeurs (C00-D49);C34;néoplasme malin des bronches et du poumon;9904;4273
II - Tumeurs (C00-D49);C37;néoplasme malin du thymus;60;14
II - Tumeurs (C00-D49);C38;néoplasme malin du cœur, du médiastin et de la plèvre;120;37
II - Tumeurs (C00-D49);C39;néoplasme malin de l'appareil respiratoire et des organes intrathoraciques, de sites autres et mal définis;< 5;< 5
II - Tumeurs (C00-D49);C40;néoplasme malin des os et du cartilage articulaire des membres;163;57
II - Tumeurs (C00-D49);C41;néoplasme malin des os et du cartilage articulaire, de sites autres et non spécifiés;211;135
II - Tumeurs (C00-D49);C43;mélanome malin de la peau;1194;816
II - Tumeurs (C00-D49);C44;néoplasmes malins de la peau, autres et non spécifiés;1766;4497
II - Tumeurs (C00-D49);C45;mésothéliome;538;94
II - Tumeurs (C00-D49);C46;sarcome de Kaposi;8;13
II - Tumeurs (C00-D49);C47;néoplasme malin des nerfs périphériques et du système nerveux autonome;45;20
II - Tumeurs (C00-D49);C48;néoplasme malin du rétropéritoine et du péritoine;211;93
II - Tumeurs (C00-D49);C49;néoplasme malin du tissu conjonctif et des autres tissus mous;632;282
II - Tumeurs (C00-D49);C4A;carcinome à cellules de Merkel;55;38
II - Tumeurs (C00-D49);C50;néoplasme malin du sein;12309;4894
II - Tumeurs (C00-D49);C51;néoplasme malin de la vulve;314;81
II - Tumeurs (C00-D49);C52;néoplasme malin du vagin;63;29
II - Tumeurs (C00-D49);C53;néoplasme malin du col de l'utérus;903;390
II - Tumeurs (C00-D49);C54;néoplasme malin du corps de l'utérus;1615;651
II - Tumeurs (C00-D49);C55;néoplasme malin de l'utérus, partie non spécifiée;109;29
II - Tumeurs (C00-D49);C56;néoplasme malin de l'ovaire;1501;519
II - Tumeurs (C00-D49);C57;néoplasme malin des organes génitaux de la femme, autres et non spécifiés;144;37
II - Tumeurs (C00-D49);C58;néoplasme malin du placenta;< 5;0
II - Tumeurs (C00-D49);C60;néoplasme malin du pénis;103;47
II - Tumeurs (C00-D49);C61;néoplasme malin de la prostate;6275;3059
II - Tumeurs (C00-D49);C62;néoplasme malin du testicule;402;179
II - Tumeurs (C00-D49);C63;néoplasme malin des organes génitaux de l'homme, autres et non spécifiés;55;17
II - Tumeurs (C00-D49);C64;néoplasme malin du rein, à l'exception du bassinet;2098;242
II - Tumeurs (C00-D49);C65;néoplasme malin du bassinet;338;62
II - Tumeurs (C00-D49);C66;néoplasme malin de l'uretère;337;101
II - Tumeurs (C00-D49);C67;néoplasme malin de la vessie;6364;3804
II - Tumeurs (C00-D49);C68;néoplasme malin des organes urinaires, autres et non spécifiés;68;21
II - Tumeurs (C00-D49);C69;néoplasme malin de l'œil et de ses annexes;189;117
II - Tumeurs (C00-D49);C70;néoplasme malin des méninges;91;9
II - Tumeurs (C00-D49);C71;néoplasme malin du cerveau;2259;182
II - Tumeurs (C00-D49);C72;néoplasme malin de la moelle épinière, des nerfs crâniens et d'autres parties du système nerveux central;52;41
II - Tumeurs (C00-D49);C73;néoplasme malin de la thyroïde;1542;30
II - Tumeurs (C00-D49);C74;néoplasme malin de la surrénale;117;46
II - Tumeurs (C00-D49);C75;néoplasme malin d'autres glandes endocrines et structures apparentées;27;7
II - Tumeurs (C00-D49);C76;néoplasme malin de sites autres et mal définis;136;56
II - Tumeurs (C00-D49);C77;néoplasme malin des ganglions lymphatiques, secondaire et non spécifié;1928;894
II - Tumeurs (C00-D49);C78;néoplasme malin secondaire des organes respiratoires et digestifs;6028;2820
II - Tumeurs (C00-D49);C79;néoplasme malin secondaire de sites autres et non spécifiés;5366;1412
II - Tumeurs (C00-D49);C7A;tumeurs neuroendocrines malignes;1012;315
II - Tumeurs (C00-D49);C7B;tumeurs neuroendocrines secondaires;281;71
II - Tumeurs (C00-D49);C80;néoplasme malin de site non spécifié;349;205
II - Tumeurs (C00-D49);C81;lymphome de Hodgkin;380;618
II - Tumeurs (C00-D49);C82;lymphome folliculaire;286;638
II - Tumeurs (C00-D49);C83;lymphome non folliculaire;1608;1931
II - Tumeurs (C00-D49);C84;lymphomes à cellules T/NK matures;154;143
II - Tumeurs (C00-D49);C85;lymphome non hodgkinien, de types autres et non spécifiés;452;347
II - Tumeurs (C00-D49);C86;autres types spécifiés de lymphomes à cellules T/NK;67;95
II - Tumeurs (C00-D49);C88;maladies immunoprolifératives malignes et d'autres lymphomes à cellules B;140;370
II - Tumeurs (C00-D49);C90;myélome multiple et néoplasmes à plasmocytes malins;1306;2909
II - Tumeurs (C00-D49);C91;leucémie lymphoïde;828;2139
II - Tumeurs (C00-D49);C92;leucémie myéloïde;1204;3524
II - Tumeurs (C00-D49);C93;leucémie monocytaire;119;520
II - Tumeurs (C00-D49);C94;autres leucémies à cellules spécifiées;70;277
II - Tumeurs (C00-D49);C95;leucémie à cellules non spécifiées;58;80
II - Tumeurs (C00-D49);C96;néoplasmes malins des tissus lymphoïde, hématopoïétique et apparentés, autres et non spécifiés;64;49
II - Tumeurs (C00-D49);D00;carcinome in situ de la cavité buccale, de l'œsophage et de l'estomac;111;85
II - Tumeurs (C00-D49);D01;carcinome in situ des organes digestifs, autres et non spécifiés;350;486
II - Tumeurs (C00-D49);D02;carcinome in situ de l'oreille moyenne et de l'appareil respiratoire;62;128
II - Tumeurs (C00-D49);D03;mélanome in situ;72;140
II - Tumeurs (C00-D49);D04;carcinome in situ de la peau;65;189
II - Tumeurs (C00-D49);D05;carcinome in situ du sein;988;280
II - Tumeurs (C00-D49);D06;carcinome in situ du col de l'utérus;530;3404
II - Tumeurs (C00-D49);D07;carcinome in situ d'organes génitaux, autres et non spécifiés;179;205
II - Tumeurs (C00-D49);D09;carcinome in situ de sites autres et non spécifiés;2021;1533
II - Tumeurs (C00-D49);D10;néoplasme bénin de la bouche et du pharynx;56;620
II - Tumeurs (C00-D49);D11;néoplasme bénin des glandes salivaires principales;797;48
II - Tumeurs (C00-D49);D12;néoplasme bénin du côlon, du rectum, de l'anus et du canal anal;4138;43616
II - Tumeurs (C00-D49);D13;néoplasme bénin de parties autres et mal définies de l'appareil digestif;555;734
II - Tumeurs (C00-D49);D14;néoplasme bénin de l'oreille moyenne et de l'appareil respiratoire;164;337
II - Tumeurs (C00-D49);D15;néoplasme bénin des organes intrathoraciques, autres et non spécifiés;120;8
II - Tumeurs (C00-D49);D16;néoplasme bénin des os et du cartilage articulaire;461;1194
II - Tumeurs (C00-D49);D17;néoplasme lipomateux bénin;890;6418
II - Tumeurs (C00-D49);D18;hémangiome et lymphangiome, tout site;779;1034
II - Tumeurs (C00-D49);D19;néoplasme bénin du tissu mésothélial;20;< 5
II - Tumeurs (C00-D49);D20;néoplasme bénin des tissus mous du rétropéritoine et du péritoine;32;0
II - Tumeurs (C00-D49);D21;autres néoplasmes bénins du tissu conjonctif et des autres tissus mous;187;584
II - Tumeurs (C00-D49);D22;nævus à mélanocytes;40;962
II - Tumeurs (C00-D49);D23;autres néoplasmes bénins de la peau;95;1628
II - Tumeurs (C00-D49);D24;néoplasme bénin du sein;378;1476
II - Tumeurs (C00-D49);D25;léiomyome de l'utérus;5421;1501
II - Tumeurs (C00-D49);D26;autres néoplasmes bénins de l'utérus;323;275
II - Tumeurs (C00-D49);D27;néoplasme bénin de l'ovaire;2101;524
II - Tumeurs (C00-D49);D28;néoplasme bénin des organes génitaux de la femme, autres et non spécifiés;86;127
II - Tumeurs (C00-D49);D29;néoplasme bénin des organes génitaux de l'homme;1198;570
II - Tumeurs (C00-D49);D30;néoplasme bénin des organes urinaires;301;172
II - Tumeurs (C00-D49);D31;néoplasme bénin de l'œil et de ses annexes;16;81
II - Tumeurs (C00-D49);D32;néoplasme bénin des méninges;1102;21
II - Tumeurs (C00-D49);D33;néoplasme bénin de l'encéphale et d'autres parties du système nerveux central;324;31
II - Tumeurs (C00-D49);D34;néoplasme bénin de la thyroïde;665;9
II - Tumeurs (C00-D49);D35;néoplasme bénin des glandes endocrines, autres et non spécifiées;1064;26
II - Tumeurs (C00-D49);D36;néoplasme bénin de sites autres et non spécifiés;338;528
II - Tumeurs (C00-D49);D37;néoplasme à évolution imprévisible ou inconnue de la cavité buccale et des organes digestifs;349;747
II - Tumeurs (C00-D49);D38;néoplasme à évolution imprévisible ou inconnue de l'oreille moyenne et des organes respiratoires et intrathoraciques;73;159
II - Tumeurs (C00-D49);D39;néoplasme à évolution imprévisible ou inconnue des organes génitaux de la femme;224;160
II - Tumeurs (C00-D49);D3A;tumeurs neuroendocrines bénignes;50;51
II - Tumeurs (C00-D49);D40;néoplasme à évolution imprévisible ou inconnue des organes génitaux de l'homme;9;17
II - Tumeurs (C00-D49);D41;néoplasme à évolution imprévisible ou inconnue des organes urinaires;948;2132
II - Tumeurs (C00-D49);D42;néoplasme à évolution imprévisible ou inconnue des méninges;30;< 5
II - Tumeurs (C00-D49);D43;néoplasme à évolution imprévisible ou inconnue de l'encéphale et du système nerveux central;113;8
II - Tumeurs (C00-D49);D44;néoplasme à évolution imprévisible ou inconnue des glandes endocrines;86;6
II - Tumeurs (C00-D49);D45;polycythémie vraie;38;120
II - Tumeurs (C00-D49);D46;syndromes myélodysplasiques;825;11639
II - Tumeurs (C00-D49);D47;autres néoplasmes des tissus lymphoïde, hématopoïétique et apparentés à évolution imprévisible ou inconnue;252;1375
II - Tumeurs (C00-D49);D48;néoplasme à évolution imprévisible ou inconnue de sites autres et non spécifiés;291;457
