chap;code_icd;diagnostic;hosp_class;hosp_de_jour
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A31;infections dues à d'autre mycobactéries;71;48
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A32;listériose;35;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A33;tétanos néonatal;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A34;tétanos obstétrical;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A35;d'autres formes de tétanos;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A36;diphtérie;38;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A37;coqueluche;50;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A38;scarlatine;108;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A39;infection à méningocoques;66;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A40;septicémie à streptocoques;1269;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A41;autre septicémie;12089;14
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A42;actinomycose;26;12
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A43;nocardiose;14;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A44;bartonellose;17;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A46;érysipèle;5168;19
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A48;d'autres maladies bactériennes;221;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A49;infection bactérienne de site non spécifié;190;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A50;syphilis congénitale;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A51;syphilis précoce;19;12
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A52;syphilis tardive;68;27
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A53;syphilis autre et non spécifiée;< 5;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A54;infection gonococcique;26;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A55;lymphogranulomatose vénérienne à Chlamydia;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A56;d'autres maladies à Chlamydia sexuellement transmissibles;56;13
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A57;chancre mou;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A58;granulome inguinal;< 5;17
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A59;trichomonase;0;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A60;infections ano-génitales par le virus de l'herpès [herpes simplex];86;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A63;d'autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs;128;1864
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A64;maladie sexuellement transmissible, non spécifiée;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A65;syphilis non vénérienne;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A66;pian;0;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A67;pinta [carate];0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A68;fièvres récurrentes;7;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A69;d'autres infections spirochétal;217;53
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A70;infection à Chlamydia psittaci;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A71;trachome;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A74;autres maladies dues à Chlamydia;28;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A75;typhus;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A77;fièvre pourprée [rickettsioses transmises par les tiques];0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A78;fièvre Q;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A79;d'autres rickettsioses;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A80;poliomyélite aiguë;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A81;infection virale atpique du système nerveux central;63;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A82;rage;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A83;encéphalite virale transmise par les moustiques;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A84;encéphalite virale transmise par des tiques;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A85;autre encéphalite virale;24;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A86;encéphalite virale, non spécifiée;76;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A87;méningite virale;382;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A88;d'autres infections virales du système nerveux central, non classées ailleurs;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A89;infection virale du système nerveux central, non spécifiée;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A90;dengue [dengue classique];10;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A91;fièvre hémorragique due au virus de la dengue;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A92;d'autres fièvres transmises par des moustiques;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A93;d'autres fièvres virales transmises par des arthropodes, non classées ailleurs;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A94;fièvre virale transmise par des arthropodes, non spécifiée;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A95;fièvre jaune;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A96;fièvre hémorragique à arénavirus;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A98;d'autres fièvres hémorragiques virales, non classées ailleurs;18;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A99;fièvre hémorragique virale, non spécifiée;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);AAA;spécialité psychiatrique;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B00;infections au virus de l'herpes [herpes simplex];469;13
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B01;varicelle [chickenpox];253;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B02;zoster [herpès zoster];831;29
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B03;variole;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B04;virus orthopox simmien;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B05;rougeole;9;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B06;rubéole [German measles];0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B07;verrues d'origine virale;< 5;561
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B08;d'autres infections virales caractérisées par des lésions de la peau et des muqueuses, non classées ailleurs;310;231
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B09;infection virale caractérisée par des lésions muco-cutanées, non spécifiée;42;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B10;autres virus herpès humain;37;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B15;hépatite aiguë A;17;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B16;hépatite aiguë B;34;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B17;autre hépatite aiguë virale;226;7
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B18;hépatite virale chronique;67;83
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B19;hépatite virale, non spécifiée;68;8
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B20;immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires;324;56
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B25;maladie à cytomégalovirus;292;21
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B26;orchite;32;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B27;mononucléose infectieuse;511;15
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B30;conjonctivites virales;9;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B33;d'autres maladies virales;101;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B34;infection virale de site non spécifié;4246;9
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B35;dermatophytose;18;34
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B36;d'autres mycoses superficielles;< 5;5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B37;candidose;425;333
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B38;coccidioïdomycose;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B39;histoplasmose;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B40;blastomycose;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B41;paracoccidioïdomycose;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B42;sporotrichose;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B43;chromomycose et abcès phaeohyphomycosique;< 5;14
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B44;aspergillose;290;86
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B45;cryptococcose;13;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B46;zygomycose;10;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B47;mycétome;0;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B48;d'autres mycoses, non classées ailleurs;15;21
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B49;mycose, non spécifiée;11;11
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B50;paludisme à Plasmodium falciparum;149;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B51;paludisme à Plasmodium vivax;8;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B52;paludisme à Plasmodium malariae;9;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B53;autre paludisme spécifié;12;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B54;paludisme, non spécifié;18;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B55;leishmaniose;14;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B56;trypanosomiase africaine;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B57;maladie de Chagas;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B58;toxoplasmose;36;6
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B59;pneumocystose;206;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B60;d'autres maladies dues à des protozoaires, non classées aillleurs;6;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B64;maladie due à des protozoaires, non spécifiée;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B65;schistosomiase [bilharziasis];9;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B66;infection par douves;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B67;échinococcose;43;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B68;infection à Taenia;< 5;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B69;cysticercose;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B70;diphyllobothriase et sparganose;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B71;d'autres infections par cestodes;0;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B72;dracunculose;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B73;onchocercose;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B74;filariose;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B75;trichinose;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B76;ankylostomiases;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B77;ascaridiase;< 5;6
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B78;anguillulose;0;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B79;infection à Trichuris trichiuria;0;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B80;oxyurose;6;49
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B81;d'autres helminthiases intestinales, non classées ailleurs;< 5;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B82;parasitoses intestinales, non spécifiées;9;5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B83;d'autres helminthiases;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B85;pédiculose et phtiriase;6;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B86;gale;88;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B87;myiase;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B88;d'autres infestations;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B89;parasitose, non spécifiée;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B90;séquelles de tuberculose;6;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B91;séquelles de poliomyélite;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B92;séquelles de lèpre;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B94;séquelles de maladies infectieuses et parasitaires, autres et non spécifiées;34;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B95;streptocoques, staphylocoques et entérocoques, cause de maladies classées ailleurs;34;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B96;d'autres agents bactériens, cause de maladies classées ailleurs;83;45
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B97;agents viraux spécifiés, cause de maladies classées ailleurs;458;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);B99;maladies infectieuses, autres et non spécifiées;698;17
2 - Tumeurs (C00-D49);C00;néoplasme malin de la lèvre;38;42
2 - Tumeurs (C00-D49);C01;néoplasme malin de la langue, base;204;188
2 - Tumeurs (C00-D49);C02;néoplasme malin de parties autres et non spécifiées de la langue;369;168
2 - Tumeurs (C00-D49);C03;néoplasme malin de la gencive;55;32
2 - Tumeurs (C00-D49);C04;néoplasme malin du plancher de la bouche;248;98
2 - Tumeurs (C00-D49);C05;néoplasme malin du palais;91;55
2 - Tumeurs (C00-D49);C06;néoplasme malin de parties autres et non spécifiées de la bouche;150;59
2 - Tumeurs (C00-D49);C07;néoplasme malin de la glande parotide;134;20
2 - Tumeurs (C00-D49);C08;néoplasme malin de la glande salivaire majeure, autre et non spécifiée;39;14
2 - Tumeurs (C00-D49);C09;néoplasme malin de l'amygdale;173;145
2 - Tumeurs (C00-D49);C10;néoplasme malin de l'oropharynx;246;166
2 - Tumeurs (C00-D49);C11;néoplasme malin du rhinopharynx;76;56
2 - Tumeurs (C00-D49);C12;néoplasme malin du sinus piriforme;141;151
2 - Tumeurs (C00-D49);C13;néoplasme malin de l'hypopharynx;100;99
2 - Tumeurs (C00-D49);C14;néoplasme malin d'autres sites mal définis de la lèvre, de la cavité buccale et du pharynx;63;43
2 - Tumeurs (C00-D49);C15;néoplasme malin de l'oesophage;1510;941
2 - Tumeurs (C00-D49);C16;néoplasme malin de l'estomac;1586;880
2 - Tumeurs (C00-D49);C17;néoplasme malin de l'intestin grêle;220;112
2 - Tumeurs (C00-D49);C18;néoplasme malin du côlon;5827;3395
2 - Tumeurs (C00-D49);C19;néoplasme malin de la jonction recto-sigmoïdienne;639;449
2 - Tumeurs (C00-D49);C20;néoplasme malin du rectum;2013;1667
2 - Tumeurs (C00-D49);C21;néoplasme malin de l'anus et du canal anal;233;241
2 - Tumeurs (C00-D49);C22;néoplasme malin du foie et des canaux biliaires intrahépatiques;1964;670
2 - Tumeurs (C00-D49);C23;néoplasme malin de la vésicule biliaire;137;42
2 - Tumeurs (C00-D49);C24;néoplasme malin de parties autres et non spécifiées des voies biliares;524;155
2 - Tumeurs (C00-D49);C25;néoplasme malin du pancréas;2829;1708
2 - Tumeurs (C00-D49);C26;néoplasme malin d'autres organes digestifs mal définis;41;18
2 - Tumeurs (C00-D49);C30;néoplasme malin des fosses nasales et de l'oreille moyenne;80;27
2 - Tumeurs (C00-D49);C31;néoplasme maliing des sinus accessoires;91;45
2 - Tumeurs (C00-D49);C32;néoplasme malin du larynx;497;483
2 - Tumeurs (C00-D49);C33;néoplasme malin de la trachée;12;24
2 - Tumeurs (C00-D49);C34;néoplasme malin de la bronche et le poumon;8403;4206
2 - Tumeurs (C00-D49);C37;néoplasme malin du thymus;97;25
2 - Tumeurs (C00-D49);C38;néoplasme malin du coeur, du médiastin et de la plèvre;120;28
2 - Tumeurs (C00-D49);C39;néoplasme malin d'autres sites mal définis du système respiratoire;< 5;0
2 - Tumeurs (C00-D49);C40;néoplasme malin des os et du cartilage articulaire des membres;185;91
2 - Tumeurs (C00-D49);C41;néoplasme malin de l'os et du cartilage de sites autres et non spécifiés;228;94
2 - Tumeurs (C00-D49);C43;mélanome malin de la peau;921;1192
2 - Tumeurs (C00-D49);C44;néoplasme malin autre et non spécifié de la peau;1279;4979
2 - Tumeurs (C00-D49);C45;mésothéliome;454;137
2 - Tumeurs (C00-D49);C46;sarcome de Kaposi de la peau;14;19
2 - Tumeurs (C00-D49);C47;néoplasme malin des nerfs périphériques et du système nerveux autonome;46;22
2 - Tumeurs (C00-D49);C48;néoplasme malin du rétropéritoine et du péritoine;180;120
2 - Tumeurs (C00-D49);C49;néoplasme malin d'autres tissus conjonctifs et tissus mous;759;332
2 - Tumeurs (C00-D49);C4A;carcinome à cellules de Merkel;61;41
2 - Tumeurs (C00-D49);C50;néoplasme malin du sein;11419;5693
2 - Tumeurs (C00-D49);C51;néoplasme malin de la vulve;305;98
2 - Tumeurs (C00-D49);C52;néoplasme malin du vagin;52;39
2 - Tumeurs (C00-D49);C53;néoplasme malin du col de l'utérus;939;461
2 - Tumeurs (C00-D49);C54;néoplasme malin du corps utérin;1468;676
2 - Tumeurs (C00-D49);C55;néoplasme malin de l'utérus, partie non spécifiée;64;18
2 - Tumeurs (C00-D49);C56;néoplasme malin de l'ovaire;1486;779
2 - Tumeurs (C00-D49);C57;néoplasme malin d'organes génitaux féminins autres et non spécifiés;143;68
2 - Tumeurs (C00-D49);C58;néoplasme malin du placenta;5;< 5
2 - Tumeurs (C00-D49);C60;néoplasme malin du pénis;123;46
2 - Tumeurs (C00-D49);C61;néoplasme malinde la prostate;6001;3751
2 - Tumeurs (C00-D49);C62;néoplasme malin du testicule;351;197
2 - Tumeurs (C00-D49);C63;néoplasme malin d'organes génitaux masculins autres et non spécifiés;22;12
2 - Tumeurs (C00-D49);C64;néoplasme malin du rein, à l'exception du bassinet;2065;354
2 - Tumeurs (C00-D49);C65;néoplasme malin du bassinet;304;88
2 - Tumeurs (C00-D49);C66;néoplasme malin de l'uretère;292;94
2 - Tumeurs (C00-D49);C67;néoplasme malin de la vessie;6037;3498
2 - Tumeurs (C00-D49);C68;néoplasme malin d'organes urinaires autres et non spécifiés;78;46
2 - Tumeurs (C00-D49);C69;néoplasme malin de l'oeil et des annexes;159;119
2 - Tumeurs (C00-D49);C70;néoplasme malin des méninges;90;5
2 - Tumeurs (C00-D49);C71;néoplasme malin du cerveau;2065;226
2 - Tumeurs (C00-D49);C72;néoplasme malin de la moelle épinière, des nerfs crâniens et d'autres parties du système nerveux central;53;39
2 - Tumeurs (C00-D49);C73;néoplasme malin de la thyroïde;1315;19
2 - Tumeurs (C00-D49);C74;néoplasme malin de la surrénale;104;67
2 - Tumeurs (C00-D49);C75;néoplasme malin d'autres glandes endocrines et structures apparentées;35;7
2 - Tumeurs (C00-D49);C76;néoplasme malin d'autres sites mal définis;109;109
2 - Tumeurs (C00-D49);C77;néoplasme malin secondaire et non spécifié des ganglions lymphatiques;1608;1295
2 - Tumeurs (C00-D49);C78;néoplasme malin secondaire des organes respiratoires et digestifs;5345;3018
2 - Tumeurs (C00-D49);C79;néoplasme malin secondaire de sites autres et non spécifiés;4665;1630
2 - Tumeurs (C00-D49);C7A;tumeurs neuroendocrines malignes;1166;617
2 - Tumeurs (C00-D49);C7B;tumeurs neuroendocrines secondaires;343;124
2 - Tumeurs (C00-D49);C80;néoplasme maling de site non spécifié;293;139
2 - Tumeurs (C00-D49);C81;lymphome hodgkinien;320;558
2 - Tumeurs (C00-D49);C82;lymphome folliculaire;248;526
2 - Tumeurs (C00-D49);C83;lymphome non follicullaire;1537;1959
2 - Tumeurs (C00-D49);C84;lymphomes à cellules T/NK matures;138;280
2 - Tumeurs (C00-D49);C85;d'autres types spécifiés et non spécifiés d'un lymphome non hodgkinien;389;384
2 - Tumeurs (C00-D49);C86;d'autres types de lymphomes à cellules T/NK;99;139
2 - Tumeurs (C00-D49);C88;maladies immunoprolifératives malignes et certains autres lymphomes à cellules B;130;293
2 - Tumeurs (C00-D49);C90;myélome multiple et néoplasmes malins à plasmocytes;1207;2183
2 - Tumeurs (C00-D49);C91;leucémie lymphoïde;566;1550
2 - Tumeurs (C00-D49);C92;leucémie myéloblastique;1184;4261
2 - Tumeurs (C00-D49);C93;leucémie monocytaire;118;837
2 - Tumeurs (C00-D49);C94;autres leucémies à cellules spécifiées;44;280
2 - Tumeurs (C00-D49);C95;leucémie à cellules non spécifiées;38;60
2 - Tumeurs (C00-D49);C96;néoplasmes malins autres et non spécifiés des tissus lymphoïde, hématopoïétique et apparentés;63;113
2 - Tumeurs (C00-D49);D00;carcinome in situ de la cavité buccale, de l'oesophage et de l'estomac;111;110
2 - Tumeurs (C00-D49);D01;carcinome in situ d'organes digestifs autres et non spécifiés;339;502
2 - Tumeurs (C00-D49);D02;carcinome in situ de l'oreille moyenne et du système respiratoire;68;95
2 - Tumeurs (C00-D49);D03;mélanome in situ;57;172
2 - Tumeurs (C00-D49);D04;carninome in situ de la peau;43;329
2 - Tumeurs (C00-D49);D05;carcinome in situ du sein;798;313
2 - Tumeurs (C00-D49);D06;carcinome in situ du col de l'utérus;466;3232
2 - Tumeurs (C00-D49);D07;carcinoma in situ d'organes génitaux autres et non spécifiés;154;239
2 - Tumeurs (C00-D49);D09;carcinome in situ de sites autres et non spécifiés;2325;1803
2 - Tumeurs (C00-D49);D10;néoplasme bénin de la bouche et du pharynx;60;494
2 - Tumeurs (C00-D49);D11;néoplasme bénin des glandes salivaires majeures;658;41
2 - Tumeurs (C00-D49);D12;néoplasme bénin du côlon, du rectum, de l'anus et du canal anal;3112;41880
2 - Tumeurs (C00-D49);D13;néoplasme bénnin d'autres parties mal définies du système digestief;522;837
2 - Tumeurs (C00-D49);D14;néoplasme bénin de l'oreille moyenne et du système respiratoire;154;310
2 - Tumeurs (C00-D49);D15;néoplasme bénin d'organes intrathoraciques autres et non spécifiés;100;8
2 - Tumeurs (C00-D49);D16;néoplasme bénin de l'os en du cartilage articulaire;319;839
2 - Tumeurs (C00-D49);D17;néoplasme lipomateux bénin;603;5272
2 - Tumeurs (C00-D49);D18;hémangiome et lymphangiome;632;855
2 - Tumeurs (C00-D49);D19;néoplasme bénin du tissu mésothélial;24;< 5
2 - Tumeurs (C00-D49);D20;néoplasme bénin des tissus mous du rétropéritoine et du péritoine;23;< 5
2 - Tumeurs (C00-D49);D21;andere néoplasme bénin du tissu conjonctif et d'autres tissus mous;161;514
2 - Tumeurs (C00-D49);D22;naevus mélanocytaire;23;740
2 - Tumeurs (C00-D49);D23;autre néoplasme bénin de la peau;40;1113
2 - Tumeurs (C00-D49);D24;néoplasme bénin du sein;238;1263
2 - Tumeurs (C00-D49);D25;léiomyome de l'utérus;3876;1139
2 - Tumeurs (C00-D49);D26;autre néoplasme bénin de l'utérus;178;128
2 - Tumeurs (C00-D49);D27;néoplasme bénin de l'ovaire;1673;708
2 - Tumeurs (C00-D49);D28;néoplasme bénin d'organes génitaux féminins autres et non spécifiés;36;92
2 - Tumeurs (C00-D49);D29;néoplsams bénin des organes génitaux masculins;763;475
2 - Tumeurs (C00-D49);D30;néoplasme bénin des organes urinaires;298;104
2 - Tumeurs (C00-D49);D31;néoplasme bénin de l'oeil et des annexes;11;65
2 - Tumeurs (C00-D49);D32;néoplasme bénin des méninges;959;22
2 - Tumeurs (C00-D49);D33;néoplasme bénin du cerveau et d'autres parties du système nerveux central;254;29
2 - Tumeurs (C00-D49);D34;néoplasme bénin de la thyroïde;529;6
2 - Tumeurs (C00-D49);D35;néoplasme bénin de glandes endocrines autres et non spécifiées;1013;25
2 - Tumeurs (C00-D49);D36;néoplasme bénin de sites autres et non spécifiés;258;473
2 - Tumeurs (C00-D49);D37;néoplasme à comportement imprévisible de la cavité buccale et des organes digestifs;345;658
2 - Tumeurs (C00-D49);D38;néoplasme à comportement imprévisible de l'oreille moyenne, des organes respiratoires et des organes intrathoraciques;61;104
2 - Tumeurs (C00-D49);D39;néoplasme à comportement imprévisible des organes génitaux féminins;188;204
2 - Tumeurs (C00-D49);D3A;tumeurs neuroencocrine bénignes;40;53
2 - Tumeurs (C00-D49);D40;néoplasme à comportement imprévisible des organes génitaux masculins;9;37
2 - Tumeurs (C00-D49);D41;néoplasme à comportement imprévisible des organes urinaires;910;2181
2 - Tumeurs (C00-D49);D42;néoplasme à comportement imprévisible des méninges;43;0
2 - Tumeurs (C00-D49);D43;néoplasme à comportement imprévisible du cerveau et du système nerveux central;114;7
2 - Tumeurs (C00-D49);D44;néoplasme à comportement imprévisible des glandes endocrines;97;12
